"city","state","slug","population","avgRent","avgHousePrice","medianIncome","colIndex","zori_latest_month","zhvi_latest_month","census_dataset"
"Jacksonville","FL","jacksonville-fl","985837","1568","279095","68069","98","2026-01-31","2026-01-31","acs/acs1 2023"
"Fort Worth","TX","fort-worth-tx","976932","1547","292122","77082","98","2026-01-31","2026-01-31","acs/acs1 2023"
"San Jose","CA","san-jose-ca","969615","3219","1401449","136229","158","2026-01-31","2026-01-31","acs/acs1 2023"
"Columbus","OH","columbus-oh","909074","1380","239151","62350","93","2026-01-31","2026-01-31","acs/acs1 2023"
"Oklahoma City","OK","oklahoma-city-ok","702654","1252","202648","67015","89","2026-01-31","2026-01-31","acs/acs1 2023"
"El Paso","TX","el-paso-tx","678945","1479","229877","57317","95","2026-01-31","2026-01-31","acs/acs1 2023"
"Memphis","TN","memphis-tn","618655","1232","141489","51399","88","2026-01-31","2026-01-31","acs/acs1 2023"
"Baltimore","MD","baltimore-md","565239","1714","185223","59579","101","2026-01-31","2026-01-31","acs/acs1 2023"
"Milwaukee","WI","milwaukee-wi","561369","1366","211874","52992","92","2026-01-31","2026-01-31","acs/acs1 2023"
"Albuquerque","NM","albuquerque-nm","560283","1477","336224","67907","97","2026-01-31","2026-01-31","acs/acs1 2023"
"Tucson","AZ","tucson-az","547232","1399","320343","55708","95","2026-01-31","2026-01-31","acs/acs1 2023"
"Fresno","CA","fresno-ca","545717","1705","383440","67603","104","2026-01-31","2026-01-31","acs/acs1 2023"
"Sacramento","CA","sacramento-ca","526383","2015","468296","85928","113","2026-01-31","2026-01-31","acs/acs1 2023"
"Mesa","AZ","mesa-az","511624","1554","427544","79145","101","2026-01-31","2026-01-31","acs/acs1 2023"
"Kansas City","MO","kansas-city-mo","510671","1395","241730","65225","94","2026-01-31","2026-01-31","acs/acs1 2023"
"Colorado Springs","CO","colorado-springs-co","488670","1656","441854","83215","103","2026-01-31","2026-01-31","acs/acs1 2023"
"Omaha","NE","omaha-ne","483362","1391","284874","71238","94","2026-01-31","2026-01-31","acs/acs1 2023"
"Virginia Beach","VA","virginia-beach-va","453649","1975","414961","91141","111","2026-01-31","2026-01-31","acs/acs1 2023"
"Long Beach","CA","long-beach-ca","449496","2283","838598","81606","125","2026-01-31","2026-01-31","acs/acs1 2023"
"Oakland","CA","oakland-ca","436508","2499","684251","96828","128","2026-01-31","2026-01-31","acs/acs1 2023"
"Bakersfield","CA","bakersfield-ca","413376","1901","390137","79355","109","2026-01-31","2026-01-31","acs/acs1 2023"
"Tulsa","OK","tulsa-ok","410915","1221","210935","56821","89","2026-01-31","2026-01-31","acs/acs1 2023"
"Tampa","FL","tampa-fl","403361","1971","366612","72851","110","2026-01-31","2026-01-31","acs/acs1 2023"
"Arlington","TX","arlington-tx","398423","1488","303597","69208","97","2026-01-31","2026-01-31","acs/acs1 2023"
"Wichita","KS","wichita-ks","396123","1127","195309","61281","88","2026-01-31","2026-01-31","acs/acs1 2023"
"Aurora","CO","aurora-co","394701","1686","454389","89300","104","2026-01-31","2026-01-31","acs/acs1 2023"
"New Orleans","LA","new-orleans-la","364136","1615","236136","55580","99","2026-01-31","2026-01-31","acs/acs1 2023"
"Anaheim","CA","anaheim-ca","340505","2704","922676","84872","137","2026-01-31","2026-01-31","acs/acs1 2023"
"Henderson","NV","henderson-nv","337280","1773","481110","82476","107","2026-01-31","2026-01-31","acs/acs1 2023"
"Stockton","CA","stockton-ca","319537","2006","423113","76191","112","2026-01-31","2026-01-31","acs/acs1 2023"
"Riverside","CA","riverside-ca","318855","2369","635032","88175","124","2026-01-31","2026-01-31","acs/acs1 2023"
"Corpus Christi","TX","corpus-christi-tx","316603","1441","217911","65138","94","2026-01-31","2026-01-31","acs/acs1 2023"
"Irvine","CA","irvine-ca","314615","3400","1517282","127989","165","2026-01-31","2026-01-31","acs/acs1 2023"
"Cincinnati","OH","cincinnati-oh","311112","1414","240511","54314","94","2026-01-31","2026-01-31","acs/acs1 2023"
"Santa Ana","CA","santa-ana-ca","310523","2762","838852","85914","137","2026-01-31","2026-01-31","acs/acs1 2023"
"Newark","NJ","newark-nj","304943","2143","479280","53818","116","2026-01-31","2026-01-31","acs/acs1 2023"
"Pittsburgh","PA","pittsburgh-pa","303254","1543","227934","66219","97","2026-01-31","2026-01-31","acs/acs1 2023"
"Greensboro","NC","greensboro-nc","302307","1381","257450","61747","93","2026-01-31","2026-01-31","acs/acs1 2023"
"Durham","NC","durham-nc","295845","1629","390598","80064","102","2026-01-31","2026-01-31","acs/acs1 2023"
"Lincoln","NE","lincoln-ne","294750","1279","281140","68050","91","2026-01-31","2026-01-31","acs/acs1 2023"
